#Command,GMLevel
/motion,0
/dustbox,0
/vcashshop,0
/user,0
/commandlist,255
!warp,20
!announce,255
!heal,20
!level,60
!joblv,60
!gold,60
!shoppoint,200
!hair,20
!hairstyle,20
!haircolor,20
!job,60
!statpoints,60
!skillpoints,60
!hide,60
!event,20
!hairext,20
!playersize,255
!item,200
!speed,20
!revive,100
!kick,255
!kickall,255
!recall,255
!recall2,255
!jump,255
!jump2,255
!mob,255
!summon,255
!summonme,255
!spawn,255
!effect,100
!skill,100
!skillclear,100
!gmob,200
!showstatus,255
!who,200
!who2,200
!who3,200
!mode,200
!go,20
!ch,20
!info,20
!reloadscript,255
!reloadconfig,255
!raw,255
!test,255
