#10,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,スキルリスト,,,,,,,,,,,,経験値,,ドロップ,ドロップアイテム,,,,,,,,,備考
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,ＩＤ５,確率,ＩＤ６,確率,EXP,JOB,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率,
#99999999,全角１６文字,99999999,HUMAN,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10000000,皮露露,10000000,PLANT,1,1,1,0,0,0,1,6,1,1,11,10,3,1,1,23,0,0,200,5,7,BLOW,1,1,0,0,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1.5,3,10000104|1500,10034507|10,10001805|1000,10032803|100,10032800|4500,10034507|10,10022953|1000,10050900,350,#初心者の友
10000002,微型皮露露,10000000,PLANT,1,1,0.6,0,0,0,0,6,1,1,11,10,3,1,1,21,0,0,200,4,6,BLOW,1,1,0,0,0,0,4,90,10,0,0,200,1,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null,null,null,null,null,null,null,,,
10000003,納米皮露露,10000000,PLANT_NOTOUCH,1,1,0.4,0,0,0,1,6,1,1,11,10,3,1,1,21,0,0,200,4,6,BLOW,1,1,0,0,0,0,4,90,10,0,0,200,1,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,,,#ヨワ
10000004,攻擊沙袋,10000000,PLANT,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,9999,1,1,200,50,50,BLOW,1,1,50,50,0,0,100,100,1,50,50,1,25,1,100,1,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,null,null,null,null,null,null,null,,,
10000006,珍寶皮露露,10000000,PLANT_BOSS,1,1,7,0,0,0,28,50,10,50,20,20,20,50,50,10000,999,999,200,55,100,BLOW,50,50,50,30,30,10,100,100,100,50,50,50,25,1,100,1,200,100,1,0,0,0,0,0,0,0,25,25,25,25,25,50,50,50,10,1,33,14,33,15,34,0,0,0,0,0,0,1,70,14,30,0,0,0,0,0,0,0,0,7530,50,7548,50,0,0,0,0,0,0,0,0,1500,2250,9,P_10001805|4000,P_10001805|2500,P_10032803|900,P_10032803|98,P_10032803|5,P_10034507|2496,10005200|1,,,#初心者ボス
10000007,藍玉皮露露,10000000,PLANT_UNITE,1,1,1,0,0,0,10,1,1,1,1,1,1,1,1,1000,0,0,200,5,7,BLOW,1,1,0,0,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10011100|5000,10011100|1000,10011100|1000,10011100|1000,null,10011100|1000,10011100|1000,10050900,350,#初心者の友
10000100,紅色杰利,10000100,PLANT,1,1,1,0,0,0,21,21,15,20,17,20,11,1,1,210,0,0,210,28,34,BLOW,6,11,20,10,58,10,54,102,60,32,32,200,3,14,100,1,304,200,1,0,20,0,0,0,0,0,0,0,255,0,0,0,0,0,255,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,7508,100,0,0,0,0,0,0,0,0,0,0,72,93,4,null,10032800|4500,10034507|1500,10034508|200,null,10032801|10,10034505|1,10050908,500,
10000101,無限回廊的紅色杰利,10000100,PLANT,1,1,1,0,0,0,9,50,50,50,50,50,50,50,50,60,1000,1000,350,15,21,BLOW,0,0,16,10,22,15,65,0,40,40,30,31,1,1,100,1,200,200,1,0,0,0,0,0,0,0,21,168,105,42,0,0,255,255,126,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,0,0,0,0,0,,,#コーラー担当、プルル系
10000102,紅寶石皮露露,10000100,PLANT,1,1,1,0,0,0,10,1,1,1,1,1,1,1,1,50,0,0,200,5,7,BLOW,1,1,300,96,300,96,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10011100|5000,null,null,null,null,null,null,10050900,350,#初心者の友
10000200,魔法皮露露,10000200,PLANT,1,1,1,0,0,0,15,20,14,18,17,19,10,1,1,110,44,49,220,18,21,BLOW,24,30,16,12,70,45,31,100,51,20,19,200,2,6,100,1,200,560,1,0,0,0,0,0,50,0,0,0,0,0,255,0,255,0,0,16,88,9,12,0,0,0,0,0,0,0,0,16,100,0,0,0,0,0,0,0,0,0,0,7519,75,7571,25,0,0,0,0,0,0,0,0,34.5,40.5,3,null,10002202|4000,10032800|1000,10032802|100,null,10034508|10,10034505|1,10050907,800,
